"service_plan_translation_id","service_plan_id","language_code","service_plan_name","service_plan_description","remarks","created_at","updated_at","deleted_at"
17,10,jpn,スタンダードプラン,スタンダードプランは月間シート数が5本以内のプランです。,,2025-07-09 08:33:17.645,2025-07-09 08:33:17.645,
18,10,eng,Standard Plan,The Standard Plan allows you to handle up to five security questionnaires per month.,,2025-07-09 08:33:17.645,2025-07-09 08:33:17.645,
