selection_item_type,selection_item_code,language_code,selection_item_name,selection_item_short_name,display_order,remarks
dd_result_type,customer_risk_level,jpn,顧客リスクレベル判定,顧客リスクレベル判定,4,
dd_result_type,add_info_entry,eng,Additional Customer Information Entry,Add'l Info Entry,5,
dd_result_type,add_info_entry,jpn,顧客情報追加入力,顧客情報追加入力,5,
dd_result_type,asf_check,eng,Anti-Social Forces Screening,ASF Screening,6,
dd_result_type,asf_check,jpn,反社チェック,反社チェック,6,
dd_result_type,rep_check,eng,Reputation Screening,Reputation Screening,7,
dd_result_type,rep_check,jpn,風評チェック,風評チェック,7,
dd_status,pre_dd_ai_started,eng,Pre DD AI Process Started,AI PRE DD Started,1,
dd_status,pre_dd_ai_started,jpn,デューデリジェンス準備AI処理開始,DD準備AI処理開始,1,
dd_status,pre_dd_ai_completed,eng,Pre DD AI Process Completed,AI PRE DD Completed,2,
dd_status,pre_dd_ai_completed,jpn,デューデリジェンス準備AI処理完了,DD準備AI処理完了,2,
dd_status,pre_dd_review_completed,eng,Pre DD Review Completed,PRE DD Review Completed,3,
dd_status,pre_dd_review_completed,jpn,デューデリジェンス準備再鑑完了,DD準備再鑑完了,3,
dd_status,pre_dd_approval_completed,eng,Pre DD Approval Completed,PRE DD Approval Completed,4,
dd_status,pre_dd_approval_completed,jpn,デューデリジェンス準備承認完了,DD準備承認完了,4,
dd_status,add_info_input_completed,eng,Addtional Info Input Completed,Add Info Input Completed,5,
dd_status,add_info_input_completed,jpn,顧客情報追加入力完了,追加入力完了,5,
dd_status,add_info_review_completed,eng,Addtional Info Input Review Completed,Add Info Input Review Completed,6,
dd_status,add_info_review_completed,jpn,顧客情報追加入力再鑑完了,追加入力再鑑完了,6,
dd_status,add_info_approval_completed,eng,Addtional Info Input Approval Completed,Add Info Input Approval Completed,7,
dd_status,add_info_approval_completed,jpn,顧客情報追加入力承認完了,追加入力承認完了,7,
dd_status,dd_ai_started,eng,DD AI Process Started,AI DD Started,8,
dd_status,dd_ai_started,jpn,デューデリジェンスAI処理開始,DDAI処理開始,8,
