country_code_alpha3,language_code,world_region,country_region_name,capital_name,remarks
LUX,eng,europe,Luxembourg,Luxembourg,
LVA,eng,europe,Latvia,Riga,
MAC,eng,asia,Macau,,
MAF,eng,north_america,Saint Martin (French part),Marigot,
MAR,eng,africa,Morocco,Rabat,
MCO,eng,europe,Monaco,Monaco,
MDA,eng,europe,"Moldova, Republic of",Chișinău,
MDG,eng,africa,Madagascar,Antananarivo,
MDV,eng,asia,Maldives,Malé,
MEX,eng,north_america,Mexico,Mexico City,
MHL,eng,oceania,Marshall Islands,Majuro,
MKD,eng,europe,North Macedonia,Skopje,
MLI,eng,africa,Mali,Bamako,
MLT,eng,europe,Malta,Valletta,
MMR,eng,asia,Myanmar,Naypyidaw,
MNE,eng,europe,Montenegro,Podgorica,
MNG,eng,asia,Mongolia,Ulaanbaatar,
MNP,eng,oceania,Northern Mariana Islands,Saipan,
MOZ,eng,africa,Mozambique,Maputo,
MRT,eng,africa,Mauritania,Nouakchott,
MSR,eng,north_america,Montserrat,Little Bay,
MTQ,eng,north_america,Martinique,,
MUS,eng,africa,Mauritius,Port Louis,
MWI,eng,africa,Malawi,Lilongwe,
MYS,eng,asia,Malaysia,Kuala Lumpur,
MYT,eng,africa,Mayotte,Mamoudzou,
NAM,eng,africa,Namibia,Windhoek,
NCL,eng,oceania,New Caledonia,Nouméa,
NER,eng,africa,Niger,Niamey,
NFK,eng,oceania,Norfolk Island,Kingston,
NGA,eng,africa,Nigeria,Abuja,
NIC,eng,north_america,Nicaragua,Managua,
NIU,eng,oceania,Niue,Alofi,
NLD,eng,europe,Netherlands,Amsterdam,
NOR,eng,europe,Norway,Oslo,
NPL,eng,asia,Nepal,Kathmandu,
NRU,eng,oceania,Nauru,Yaren (de facto),
NZL,eng,oceania,New Zealand,Wellington,
OMN,eng,asia,Oman,Muscat,
PAK,eng,asia,Pakistan,Islamabad,
PAN,eng,north_america,Panama,Panama City,
PCN,eng,oceania,Pitcairn,Adamstown,
PER,eng,south_america,Peru,Lima,
PHL,eng,asia,Philippines,Manila,
PLW,eng,oceania,Palau,Ngerulmud,
PNG,eng,oceania,Papua New Guinea,Port Moresby,
POL,eng,europe,Poland,Warsaw,
PRI,eng,north_america,Puerto Rico,San Juan,
PRK,eng,asia,"Korea, Democratic People's Republic of",Pyongyang,
PRT,eng,europe,Portugal,Lisbon,
PRY,eng,south_america,Paraguay,Asunción,
PSE,eng,asia,"Palestine, State of",Ramallah (de facto),
PYF,eng,oceania,French Polynesia,Papeete,
QAT,eng,asia,Qatar,Doha,
REU,eng,africa,Réunion,Saint-Denis,
ROU,eng,europe,Romania,Bucharest,
RUS,eng,europe,Russian Federation,Moscow,
RWA,eng,africa,Rwanda,Kigali,
SAU,eng,asia,Saudi Arabia,Riyadh,
SDN,eng,africa,Sudan,Khartoum,
SEN,eng,africa,Senegal,Dakar,
SGP,eng,asia,Singapore,Singapore,
SGS,eng,south_america,South Georgia and the South Sandwich Islands,King Edward Point,
SHN,eng,africa,"Saint Helena, Ascension and Tristan da Cunha",Jamestown,
SJM,eng,europe,Svalbard and Jan Mayen,,
SLB,eng,oceania,Solomon Islands,Honiara,
SLE,eng,africa,Sierra Leone,Freetown,
SLV,eng,north_america,El Salvador,San Salvador,
SMR,eng,europe,San Marino,San Marino,
SOM,eng,africa,Somalia,Mogadishu,
SPM,eng,north_america,Saint Pierre and Miquelon,Saint-Pierre,
SRB,eng,europe,Serbia,Belgrade,
SSD,eng,africa,South Sudan,Juba,
STP,eng,africa,Sao Tome and Principe,São Tomé,
SUR,eng,south_america,Suriname,Paramaribo,
SVK,eng,europe,Slovakia,Bratislava,
SVN,eng,europe,Slovenia,Ljubljana,
SWE,eng,europe,Sweden,Stockholm,
SWZ,eng,africa,Eswatini,Mbabane,
SXM,eng,north_america,Sint Maarten (Dutch part),Philipsburg,
SYC,eng,africa,Seychelles,Victoria,
SYR,eng,asia,Syrian Arab Republic,Damascus,
TCA,eng,north_america,Turks and Caicos Islands,Cockburn Town,
TCD,eng,africa,Chad,N'Djamena,
TGO,eng,africa,Togo,Lomé,
THA,eng,asia,Thailand,Bangkok,
TJK,eng,asia,Tajikistan,Dushanbe,
TKL,eng,oceania,Tokelau,Atafu,
TKM,eng,asia,Turkmenistan,Ashgabat,
TLS,eng,asia,Timor-Leste,Dili,
TON,eng,oceania,Tonga,Nukuʻalofa,
TTO,eng,north_america,Trinidad and Tobago,Port of Spain,
TUN,eng,africa,Tunisia,Tunis,
TUR,eng,asia,Turkey,Ankara,
TUV,eng,oceania,Tuvalu,Funafuti,
TWN,eng,asia,"Taiwan, Province of China",Taipei,
TZA,eng,africa,"Tanzania, United Republic of",Dodoma,
UGA,eng,africa,Uganda,Kampala,
UKR,eng,europe,Ukraine,Kyiv,
UMI,eng,oceania,United States Minor Outlying Islands,,
URY,eng,south_america,Uruguay,Montevideo,
USA,eng,north_america,United States of America,"Washington, D.C.",
UZB,eng,asia,Uzbekistan,Tashkent,
VAT,eng,europe,Holy See,Vatican City,
VCT,eng,north_america,Saint Vincent and the Grenadines,Kingstown,
VEN,eng,south_america,Venezuela (Bolivarian Republic of),Caracas,
VGB,eng,north_america,Virgin Islands (British),Road Town,
VIR,eng,north_america,Virgin Islands (U.S.),Charlotte Amalie,
VNM,eng,asia,Viet Nam,Hanoi,
VUT,eng,oceania,Vanuatu,Port Vila,
WLF,eng,oceania,Wallis and Futuna,Mata-Utu,
WSM,eng,oceania,Samoa,Apia,
YEM,eng,asia,Yemen,Sana'a,
ZAF,eng,africa,South africa,Pretoria,
ZMB,eng,africa,Zambia,Lusaka,
ZWE,eng,africa,Zimbabwe,Harare,
ABW,jpn,南アメリカ,アルバ,オラニエスタッド,
AFG,jpn,アジア,アフガニスタン・イスラム国,カブール,
AGO,jpn,アフリカ,アンゴラ共和国,ルアンダ,
AIA,jpn,北アメリカ,アンギラ,バレー,
ALA,jpn,ヨーロッパ,オーランド諸島,マリエハムン,
ALB,jpn,ヨーロッパ,アルバニア共和国,ティラナ,
AND,jpn,ヨーロッパ,アンドラ公国,アンドララベリャ,
ARE,jpn,アジア,アラブ首長国連邦,アブダビ,
ARG,jpn,南アメリカ,アルゼンチン共和国,ブエノスアイレス,
ARM,jpn,アジア,アルメニア共和国,エレバン,
ASM,jpn,オセアニア,米領サモア,パゴパゴ,
ATF,jpn,アフリカ,仏領南方・南極地域,ポルトーフランセ,
ATG,jpn,北アメリカ,アンティグア・バーブーダ,セントジョンズ,
AUS,jpn,オセアニア,オーストラリア,キャンベラ,
AUT,jpn,ヨーロッパ,オーストリア共和国,ウィーン,
AZE,jpn,アジア,アゼルバイジャン共和国,バクー,
BDI,jpn,アフリカ,ブルンジ共和国,ブジュンブラ,
BEL,jpn,ヨーロッパ,ベルギー王国,ブリュッセル,
BEN,jpn,アフリカ,ベナン共和国,ポルトノボ,
BES,jpn,北アメリカ,ボネール、シント・ユースタティウスおよびサバ,クラレンダイク,
BFA,jpn,アフリカ,ブルキナファソ,ワガドゥグー,
BGD,jpn,アジア,バングラデシュ人民共和国,ダッカ,
BGR,jpn,ヨーロッパ,ブルガリア共和国,ソフィア,
BHR,jpn,アジア,バーレーン国,マナーマ,
BHS,jpn,北アメリカ,バハマ国,ナッソー,
BIH,jpn,ヨーロッパ,ボスニア・ヘルツェゴビナ共和国,サラエヴォ,
BLM,jpn,北アメリカ,サン・バルテルミー島,グスタビア,
BLR,jpn,ヨーロッパ,ベラルーシ共和国,ミンスク,
BLZ,jpn,北アメリカ,ベリーズ,ベルモパン,
BMU,jpn,北アメリカ,バミューダ諸島,ハミルトン,
BOL,jpn,南アメリカ,ボリビア共和国,ラパス,
BRA,jpn,南アメリカ,ブラジル連邦共和国,ブラジリア,
BRB,jpn,北アメリカ,バルバドス,ブリッジタウン,
BRN,jpn,アジア,ブルネイ・ダルサラーム国,バンダルスリブガワン,
BTN,jpn,アジア,ブータン王国,ティンプー,
BVT,jpn,アフリカ,ブーベ島,,
BWA,jpn,アフリカ,ボツワナ共和国,ハボローネ,
CAF,jpn,アフリカ,中央アフリカ共和国,バンギ,
CAN,jpn,北アメリカ,カナダ,オタワ,
CCK,jpn,オセアニア,ココス諸島,ウェスト島,
CHE,jpn,ヨーロッパ,スイス連邦,ベルン,
CHL,jpn,南アメリカ,チリ共和国,サンティアゴ・デ・チレ,
CHN,jpn,アジア,中華人民共和国,北京,
CIV,jpn,アフリカ,コートジボアール共和国,ヤムスクロ,
CMR,jpn,アフリカ,カメルーン共和国,ヤウンデ,
COD,jpn,アフリカ,コンゴ民主共和国,キンシャサ,
COG,jpn,アフリカ,コンゴ共和国,ブラザヴィル,
COK,jpn,オセアニア,クック諸島,アバルア,
COL,jpn,南アメリカ,コロンビア共和国,ボゴタ,
COM,jpn,アフリカ,コモロ・イスラム連邦共和国,モロニ,
CPV,jpn,アフリカ,カーボベルデ共和国,プライア,
CRI,jpn,北アメリカ,コスタリカ共和国,サン・ホセ,
CUB,jpn,北アメリカ,キューバ共和国,ハバナ,
CUW,jpn,北アメリカ,キュラソー,ウィレムスタット,
CXR,jpn,オセアニア,クリスマス島,フライング・フィッシュ・コーブ,
CYM,jpn,北アメリカ,ケイマン諸島,ジョージタウン,
CYP,jpn,アジア,キプロス共和国,ニコシア,
CZE,jpn,ヨーロッパ,チェコ共和国,プラハ,
DEU,jpn,ヨーロッパ,ドイツ連邦共和国,ベルリン,
DJI,jpn,アフリカ,ジブチ共和国,ジブチ,
DMA,jpn,北アメリカ,ドミニカ国,ロゾー,
DNK,jpn,ヨーロッパ,デンマーク王国,コペンハーゲン,
DOM,jpn,北アメリカ,ドミニカ共和国,サントドミンゴ,
DZA,jpn,アフリカ,アルジェリア民主人民共和国,アルジェ,
ECU,jpn,南アメリカ,エクアドル共和国,キト,
EGY,jpn,アフリカ,エジプト・アラブ共和国,カイロ,
ERI,jpn,アフリカ,エリトリア,アスマラ,
ESH,jpn,アフリカ,西サハラ,ラユーン,
ESP,jpn,ヨーロッパ,スペイン,マドリード,
EST,jpn,ヨーロッパ,エストニア共和国,タリン,
ETH,jpn,アフリカ,エチオピア,アディスアベバ,
FIN,jpn,ヨーロッパ,フィンランド共和国,ヘルシンキ,
FJI,jpn,オセアニア,フィジー共和国,スバ,
FLK,jpn,南アメリカ,フォークランド(マルビナス)諸島,スタンリー,
FRA,jpn,ヨーロッパ,フランス共和国,パリ,
FRO,jpn,ヨーロッパ,フェロー諸島,トースハウン,
FSM,jpn,オセアニア,ミクロネシア連邦,パリキール,
GAB,jpn,アフリカ,ガボン共和国,リーブルヴィル,
GBR,jpn,ヨーロッパ,グレートブリテン及び北部アイルランド連合王国(英国),ロンドン,
GEO,jpn,アジア,ジョージア共和国,トビリシ,
GGY,jpn,ヨーロッパ,ガーンジー,セント・ピーター・ポート,
GHA,jpn,アフリカ,ガーナ共和国,アクラ,
