"company_id","language_code","company_legal_name","company_short_name","remarks","created_at","updated_at","deleted_at"
1,jpn,株式会社電通総研,電通総研,,2025-06-05 15:56:50.783,2025-06-05 15:56:50.783,
2,jpn,株式会社電通デジタル,電通デジタル,,2025-06-05 15:56:50.783,2025-06-05 15:56:50.783,
