"country_code_alpha3","name_fields_order","address_fields_order","remarks","created_at","updated_at","deleted_at"
USA,"{{firstname}} {{middlename}} {{lastname}}","{{street}}, {{city}}, {{state}} {{postal}}{{building}}",USA address: street → city → state → ZIP,2025-06-05 15:11:57.130,2025-06-05 15:13:12.987,
JPN,"{{lastname}} {{firstname}} ","{{postal}} {{state}}{{city}}{{street}}{{building}}",日本語住所：郵便番号→都道府県→市区町村→番地→建物,2025-06-05 15:11:57.130,2025-06-05 15:13:12.987,
CHN,"{{lastname}} {{firstname}}","{{postal}} {{state}}{{city}}{{street}}{{building}}",中国語住所：郵便番号→省/直轄市→市→街道→番地→楼/室,2025-06-05 15:11:57.130,2025-06-05 15:13:12.987,
HKG,"{{lastname}} {{firstname}}","{{building}}{{street}}, {{city}}, Hong Kong",香港住所：建物→街→地区→Hong Kong（郵便番号なし）,2025-06-05 15:11:57.130,2025-06-05 15:13:12.987,
THA,"{{firstname}} {{lastname}}","{{building}} {{street}}, {{city}}, {{state}} {{postal}}",タイ住所：建物/番地→区→県→郵便番号,2025-06-05 15:11:57.130,2025-06-05 15:13:12.987,
IDN,"{{firstname}} {{lastname}}","{{building}} {{street}}, {{city}}, {{state}} {{postal}}",インドネシア住所：建物/番地→市→州→郵便番号,2025-06-05 15:11:57.130,2025-06-05 15:13:12.987,
