country_code_alpha3,country_code_alpha2,country_code_numeric,world_region_type,world_region_code,selectable,display_order,remarks,created_at,updated_at,deleted_at
COG,CG,178,world_region,africa,false,,コンゴ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
COK,CK,184,world_region,oceania,false,,クック諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
COL,CO,170,world_region,south_america,false,,コロンビア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
COM,KM,174,world_region,africa,false,,コモロ・イスラム連邦共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
CPV,CV,132,world_region,africa,false,,カーボベルデ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
CRI,CR,188,world_region,north_america,false,,コスタリカ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
CUB,CU,192,world_region,north_america,false,,キューバ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
CUW,CW,531,world_region,north_america,false,,キュラソー,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
CXR,CX,162,world_region,oceania,false,,クリスマス島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
CYM,KY,136,world_region,north_america,false,,ケイマン諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
CYP,CY,196,world_region,asia,false,,キプロス共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
CZE,CZ,203,world_region,europe,false,,チェコ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
DEU,DE,276,world_region,europe,false,,ドイツ連邦共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
DJI,DJ,262,world_region,africa,false,,ジブチ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
DMA,DM,212,world_region,north_america,false,,ドミニカ国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
DNK,DK,208,world_region,europe,false,,デンマーク王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
DOM,DO,214,world_region,north_america,false,,ドミニカ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
DZA,DZ,12,world_region,africa,false,,アルジェリア民主人民共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ECU,EC,218,world_region,south_america,false,,エクアドル共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
EGY,EG,818,world_region,africa,false,,エジプト・アラブ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ERI,ER,232,world_region,africa,false,,エリトリア,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ESH,EH,732,world_region,africa,false,,西サハラ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ESP,ES,724,world_region,europe,false,,スペイン,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
EST,EE,233,world_region,europe,false,,エストニア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ETH,ET,231,world_region,africa,false,,エチオピア,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
FIN,FI,246,world_region,europe,false,,フィンランド共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
FJI,FJ,242,world_region,oceania,false,,フィジー共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
FLK,FK,238,world_region,south_america,false,,フォークランド(マルビナス)諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
FRA,FR,250,world_region,europe,false,,フランス共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
FRO,FO,234,world_region,europe,false,,フェロー諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
FSM,FM,583,world_region,oceania,false,,ミクロネシア連邦,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
