country_code_alpha3,country_code_alpha2,country_code_numeric,world_region_type,world_region_code,selectable,display_order,remarks,created_at,updated_at,deleted_at
UGA,UG,800,world_region,africa,false,,ウガンダ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
UKR,UA,804,world_region,europe,false,,ウクライナ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
UMI,UM,581,world_region,oceania,false,,米領太平洋諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
URY,UY,858,world_region,south_america,false,,ウルグアイ東方共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
UZB,UZ,860,world_region,asia,false,,ウズベキスタン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
VAT,VA,336,world_region,europe,false,,バチカン市国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
VCT,VC,670,world_region,north_america,false,,セントビンセント・グレナディーン,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
VEN,VE,862,world_region,south_america,false,,ベネズエラ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
VGB,VG,92,world_region,north_america,false,,英領ヴァージン諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
VIR,VI,850,world_region,north_america,false,,米領ヴァージン諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
VNM,VN,704,world_region,asia,false,,ベトナム社会主義共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
VUT,VU,548,world_region,oceania,false,,バヌアツ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
WLF,WF,876,world_region,oceania,false,,ワリス・フテュナ諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
WSM,WS,882,world_region,oceania,false,,サモア独立国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
YEM,YE,887,world_region,asia,false,,イエメン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ZAF,ZA,710,world_region,africa,false,,南アフリカ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ZMB,ZM,894,world_region,africa,false,,ザンビア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ZWE,ZW,716,world_region,africa,false,,ジンバブエ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
