"selection_item_translation_id","selection_item_type","selection_item_code","language_code","selection_item_name","selection_item_short_name","remarks","created_at","updated_at","deleted_at"
260,language_code,yue,eng,中国語（繁体字）,中国語（繁体字）,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
261,language_code,spa,eng,Español,Español,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
262,language_code,vie,eng,Tiếng Việt,Tiếng Việt,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
263,contract_language_code,eng,eng,English,English,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
264,contract_language_code,jpn,eng,日本語,日本語,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
265,contract_language_code,cmn,eng,中文（简体）,中国語（簡体字）,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
266,contract_language_code,yue,eng,中国語（繁体字）,中国語（繁体字）,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
267,dd_entity_type,target_company,eng,Target Entity,Target Entity,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
250,billing_cycle,quarterly,eng,Quarterly (Every 3 months),Quarterly,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
251,billing_cycle,semi_annually,eng,Semi-Annually (Every 6 months),Semi-Annually,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
252,billing_cycle,annually,eng,Annually (Every 12 months),Annually,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
268,dd_entity_type,related_company,eng,Related Company,Related Company,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
269,dd_entity_type,related_individual,eng,Related Individual,Related Individual,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
270,dd_relation_type,ultimate_beneficial_owner,eng,Ultimate Beneficial Owner,Ultimate Beneficial Owner,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
271,dd_relation_type,executive,eng,Executive,Executive,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
272,dd_relation_type,shareholder,eng,Shareholder,Shareholder,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
273,dd_relation_type,executive_of_shareholder,eng,Executive of Shareholder,Executive of Shareholder,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
274,dd_relation_type,indirect_shareholder,eng,Indirect Shareholder,Indirect Shareholder,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
275,dd_relation_type,executive_of_indirect_shareholder,eng,Executive of Indirect Shareholder,Executive of Indirect Shareholder,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
276,dd_relation_type,investee,eng,Investee,Investee,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
277,dd_relation_type,executive_of_investee,eng,Executive of Investee,Executive of Investee,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
278,dd_relation_type,indirect_investee,eng,Indirect Investee,Indirect Investee,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
