country_code_alpha3,language_code,world_region,country_region_name,capital_name,remarks
FLK,eng,south_america,Falkland Islands (Malvinas),Stanley,
BRA,eng,south_america,Brazil,Brasília,
FRA,eng,europe,France,Paris,
BGR,eng,europe,Bulgaria,Sofia,
BFA,eng,africa,Burkina Faso,Ouagadougou,
BRB,eng,north_america,Barbados,Bridgetown,
HUN,eng,europe,Hungary,Budapest,
BRN,eng,asia,Brunei Darussalam,Bandar Seri Begawan,
BDI,eng,africa,Burundi,Bujumbura,
HMD,eng,oceania,Heard Island and McDonald Islands,,
VNM,eng,asia,Viet Nam,Hanoi,
BEN,eng,africa,Benin,Porto-Novo,
VEN,eng,south_america,Venezuela (Bolivarian Republic of),Caracas,
BLR,eng,europe,Belarus,Minsk,
BLZ,eng,north_america,Belize,Belmopan,
PER,eng,south_america,Peru,Lima,
GUF,eng,south_america,French Guiana,Cayenne,
PYF,eng,oceania,French Polynesia,Papeete,
ATF,eng,africa,French Southern Territories,Port-aux-Français,
VIR,eng,north_america,Virgin Islands (U.S.),Charlotte Amalie,
ASM,eng,oceania,American Samoa,Pago Pago,
UMI,eng,oceania,United States Minor Outlying Islands,,
MNP,eng,oceania,Northern Mariana Islands,Saipan,
PRK,eng,asia,"Korea, Democratic People's Republic of",Pyongyang,
BEL,eng,europe,Belgium,Brussels,
WSM,eng,oceania,Samoa,Apia,
STP,eng,africa,Sao Tome and Principe,São Tomé,
ZMB,eng,africa,Zambia,Lusaka,
SPM,eng,north_america,Saint Pierre and Miquelon,Saint-Pierre,
SMR,eng,europe,San Marino,San Marino,
SLE,eng,africa,Sierra Leone,Freetown,
DJI,eng,africa,Djibouti,Djibouti,
GIB,eng,europe,Gibraltar,Gibraltar,
JAM,eng,north_america,Jamaica,Kingston,
GEO,eng,asia,Georgia,Tbilisi,
SYR,eng,asia,Syrian Arab Republic,Damascus,
SGP,eng,asia,Singapore,Singapore,
ZWE,eng,africa,Zimbabwe,Harare,
CHE,eng,europe,Switzerland,Bern,
SWE,eng,europe,Sweden,Stockholm,
SDN,eng,africa,Sudan,Khartoum,
SJM,eng,europe,Svalbard and Jan Mayen,,
ESP,eng,europe,Spain,Madrid,
SUR,eng,south_america,Suriname,Paramaribo,
LKA,eng,asia,Sri Lanka,Sri Jayawardenepura Kotte,
SVK,eng,europe,Slovakia,Bratislava,
SVN,eng,europe,Slovenia,Ljubljana,
SYC,eng,africa,Seychelles,Victoria,
SEN,eng,africa,Senegal,Dakar,
SRB,eng,europe,Serbia,Belgrade,
KNA,eng,north_america,Saint Kitts and Nevis,Basseterre,
MUS,eng,africa,Mauritius,Port Louis,
MRT,eng,africa,Mauritania,Nouakchott,
MOZ,eng,africa,Mozambique,Maputo,
POL,eng,europe,Poland,Warsaw,
BIH,eng,europe,Bosnia and Herzegovina,Sarajevo,
BWA,eng,africa,Botswana,Gaborone,
BOL,eng,south_america,Bolivia (Plurinational State of),La Paz,
PRT,eng,europe,Portugal,Lisbon,
HKG,eng,asia,Hong Kong,,
HND,eng,north_america,Honduras,Tegucigalpa,
MHL,eng,oceania,Marshall Islands,Majuro,
MAC,eng,asia,Macau,,
MDG,eng,africa,Madagascar,Antananarivo,
MYT,eng,africa,Mayotte,Mamoudzou,
MWI,eng,africa,Malawi,Lilongwe,
MLI,eng,africa,Mali,Bamako,
MLT,eng,europe,Malta,Valletta,
MTQ,eng,north_america,Martinique,,
MYS,eng,asia,Malaysia,Kuala Lumpur,
FSM,eng,oceania,Micronesia (Federated States of),Palikir,
SSD,eng,africa,South Sudan,Juba,
MMR,eng,asia,Myanmar,Naypyidaw,
MEX,eng,north_america,Mexico,Mexico City,
VCT,eng,north_america,Saint Vincent and the Grenadines,Kingstown,
SHN,eng,africa,"Saint Helena, Ascension and Tristan da Cunha",Jamestown,
PAN,eng,north_america,Panama,Panama City,
VUT,eng,oceania,Vanuatu,Port Vila,
BHS,eng,north_america,Bahamas,Nassau,
PNG,eng,oceania,Papua New Guinea,Port Moresby,
BMU,eng,north_america,Bermuda,Hamilton,
PLW,eng,oceania,Palau,Ngerulmud,
PRY,eng,south_america,Paraguay,Asunción,
MAR,eng,africa,Morocco,Rabat,
MCO,eng,europe,Monaco,Monaco,
MDV,eng,asia,Maldives,Malé,
MDA,eng,europe,"Moldova, Republic of",Chișinău,
MNG,eng,asia,Mongolia,Ulaanbaatar,
LAO,eng,asia,Lao People's Democratic Republic,Vientiane,
MNE,eng,europe,Montenegro,Podgorica,
MSR,eng,north_america,Montserrat,Little Bay,
JOR,eng,asia,Jordan,Amman,
LVA,eng,europe,Latvia,Riga,
LTU,eng,europe,Lithuania,Vilnius,
LBY,eng,africa,Libya,Tripoli,
LIE,eng,europe,Liechtenstein,Vaduz,
LBR,eng,africa,Liberia,Monrovia,
ROU,eng,europe,Romania,Bucharest,
LUX,eng,europe,Luxembourg,Luxembourg,
RWA,eng,africa,Rwanda,Kigali,
LSO,eng,africa,Lesotho,Maseru,
LBN,eng,asia,Lebanon,Beirut,
REU,eng,africa,Réunion,Saint-Denis,
RUS,eng,europe,Russian Federation,Moscow,
WLF,eng,oceania,Wallis and Futuna,Mata-Utu,
IOT,eng,asia,British Indian Ocean Territory,Victoria,
VGB,eng,north_america,Virgin Islands (British),Road Town,
ESH,eng,africa,Western Sahara,Laayoune,
GNQ,eng,africa,Equatorial Guinea,Malabo,
KOR,eng,asia,"Korea, Republic of",Seoul,
CAF,eng,africa,Central african Republic,Bangui,
CHN,eng,asia,China,Beijing,
TLS,eng,asia,Timor-Leste,Dili,
ZAF,eng,africa,South africa,Pretoria,
SGS,eng,south_america,South Georgia and the South Sandwich Islands,King Edward Point,
GBR,jpn,ヨーロッパ,グレートブリテン及び北部アイルランド連合王国(英国),ロンドン,
GRD,jpn,北アメリカ,グレナダ,セントジョージズ,
HRV,jpn,ヨーロッパ,クロアチア共和国,ザグレブ,
CYM,jpn,北アメリカ,ケイマン諸島,ジョージタウン,
KEN,jpn,アフリカ,ケニア共和国,ナイロビ,
CIV,jpn,アフリカ,コートジボアール共和国,ヤムスクロ,
CCK,jpn,オセアニア,ココス諸島,ウェスト島,
CRI,jpn,北アメリカ,コスタリカ共和国,サン・ホセ,
COM,jpn,アフリカ,コモロ・イスラム連邦共和国,モロニ,
AFG,jpn,アジア,アフガニスタン・イスラム国,カブール,
GUY,jpn,南アメリカ,ガイアナ協同共和国,ジョージタウン,
JPN,jpn,日本,日本国,東京,
ISL,jpn,ヨーロッパ,アイスランド共和国,レイキャヴィーク,
IRL,jpn,ヨーロッパ,アイルランド,ダブリン,
AZE,jpn,アジア,アゼルバイジャン共和国,バクー,
USA,jpn,北アメリカ,アメリカ合衆国(米国),ワシントンD.C.,
ARE,jpn,アジア,アラブ首長国連邦,アブダビ,
DZA,jpn,アフリカ,アルジェリア民主人民共和国,アルジェ,
ARG,jpn,南アメリカ,アルゼンチン共和国,ブエノスアイレス,
ABW,jpn,南アメリカ,アルバ,オラニエスタッド,
ALB,jpn,ヨーロッパ,アルバニア共和国,ティラナ,
GNB,jpn,アフリカ,ギニアビサウ共和国,ビサウ,
GIN,jpn,アフリカ,ギニア共和国,コナクリ,
CYP,jpn,アジア,キプロス共和国,ニコシア,
CUB,jpn,北アメリカ,キューバ共和国,ハバナ,
GRC,jpn,ヨーロッパ,ギリシャ共和国,アテネ,
KIR,jpn,オセアニア,キリバス共和国,タラワ,
KGZ,jpn,アジア,キルギス共和国,ビシュケク,
COL,jpn,南アメリカ,コロンビア共和国,ボゴタ,
COD,jpn,アフリカ,コンゴ民主共和国,キンシャサ,
COG,jpn,アフリカ,コンゴ共和国,ブラザヴィル,
SAU,jpn,アジア,サウジアラビア王国,リヤド,
KAZ,jpn,アジア,カザフスタン共和国,ヌルスルタン,
QAT,jpn,アジア,カタール国,ドーハ,
CAN,jpn,北アメリカ,カナダ,オタワ,
GAB,jpn,アフリカ,ガボン共和国,リーブルヴィル,
CMR,jpn,アフリカ,カメルーン共和国,ヤウンデ,
GMB,jpn,アフリカ,ガンビア共和国,バンジュール,
KHM,jpn,アジア,カンボジア王国,ブノンペン,
MKD,jpn,ヨーロッパ,北マケドニア共和国,スコピエ,
KWT,jpn,アジア,クウェート国,クウェート,
ARM,jpn,アジア,アルメニア共和国,エレバン,
AIA,jpn,北アメリカ,アンギラ,バレー,
GTM,jpn,北アメリカ,グアテマラ共和国,グアテマラシティ,
GLP,jpn,北アメリカ,グアドループ島,バステール,
GUM,jpn,オセアニア,グアム,ハガニア,
COK,jpn,オセアニア,クック諸島,アバルア,
GRL,jpn,北アメリカ,グリーンランド,ヌーク,
CXR,jpn,オセアニア,クリスマス島,フライング・フィッシュ・コーブ,
YEM,jpn,アジア,イエメン共和国,サヌア,
AGO,jpn,アフリカ,アンゴラ共和国,ルアンダ,
ATG,jpn,北アメリカ,アンティグア・バーブーダ,セントジョンズ,
AND,jpn,ヨーロッパ,アンドラ公国,アンドララベリャ,
ISR,jpn,アジア,イスラエル国,エルサレム,
ITA,jpn,ヨーロッパ,イタリア共和国,ローマ,
IRQ,jpn,アジア,イラク共和国,バグダッド,
IRN,jpn,アジア,イラン・イスラム共和国,テヘラン,
IND,jpn,アジア,インド,ニューデリー,
IDN,jpn,アジア,インドネシア共和国,ジャカルタ,
UGA,jpn,アフリカ,ウガンダ共和国,カンパラ,
UKR,jpn,ヨーロッパ,ウクライナ,キエフ,
EGY,jpn,アフリカ,エジプト・アラブ共和国,カイロ,
UZB,jpn,アジア,ウズベキスタン共和国,タシケント,
URY,jpn,南アメリカ,ウルグアイ東方共和国,モンテビデオ,
ECU,jpn,南アメリカ,エクアドル共和国,キト,
EST,jpn,ヨーロッパ,エストニア共和国,タリン,
