country_code_alpha3,country_code_alpha2,country_code_numeric,world_region_type,world_region_code,remarks
SUR,SR,740,world_region,South America,
LKA,LK,144,world_region,Asia,
SVK,SK,703,world_region,Europe,
SVN,SI,705,world_region,Europe,
SYC,SC,690,world_region,Africa,
SEN,SN,686,world_region,Africa,
SRB,RS,688,world_region,Europe,
KNA,KN,659,world_region,North America,
MUS,MU,480,world_region,Africa,
MRT,MR,478,world_region,Africa,
MOZ,MZ,508,world_region,Africa,
POL,PL,616,world_region,Europe,
BIH,BA,70,world_region,Europe,
BWA,BW,72,world_region,Africa,
BOL,BO,68,world_region,South America,
PRT,PT,620,world_region,Europe,
HKG,HK,344,world_region,Asia,
HND,HN,340,world_region,North America,
MHL,MH,584,world_region,Oceania,
MAC,MO,446,world_region,Asia,
MDG,MG,450,world_region,Africa,
MYT,YT,175,world_region,Africa,
MWI,MW,454,world_region,Africa,
MLI,ML,466,world_region,Africa,
MLT,MT,470,world_region,Europe,
MTQ,MQ,474,world_region,North America,
MYS,MY,458,world_region,Asia,
FSM,FM,583,world_region,Oceania,
SSD,SS,728,world_region,Africa,
MMR,MM,104,world_region,Asia,
MEX,MX,484,world_region,North America,
VCT,VC,670,world_region,North America,
SHN,SH,654,world_region,Africa,
PAN,PA,591,world_region,North America,
VUT,VU,548,world_region,Oceania,
BHS,BS,44,world_region,North America,
PNG,PG,598,world_region,Oceania,
BMU,BM,60,world_region,North America,
PLW,PW,585,world_region,Oceania,
PRY,PY,600,world_region,South America,
MAR,MA,504,world_region,Africa,
MCO,MC,492,world_region,Europe,
MDV,MV,462,world_region,Asia,
MDA,MD,498,world_region,Europe,
MNG,MN,496,world_region,Asia,
LAO,LA,418,world_region,Asia,
MNE,ME,499,world_region,Europe,
MSR,MS,500,world_region,North America,
JOR,JO,400,world_region,Asia,
LVA,LV,428,world_region,Europe,
LTU,LT,440,world_region,Europe,
LBY,LY,434,world_region,Africa,
LIE,LI,438,world_region,Europe,
LBR,LR,430,world_region,Africa,
ROU,RO,642,world_region,Europe,
LUX,LU,442,world_region,Europe,
RWA,RW,646,world_region,Africa,
LSO,LS,426,world_region,Africa,
LBN,LB,422,world_region,Asia,
REU,RE,638,world_region,Africa,
RUS,RU,643,world_region,Europe,
WLF,WF,876,world_region,Oceania,
IOT,IO,86,world_region,Asia,
VGB,VG,92,world_region,North America,
ESH,EH,732,world_region,Africa,
GNQ,GQ,226,world_region,Africa,
KOR,KR,410,world_region,Asia,
CAF,CF,140,world_region,Africa,
CHN,CN,156,world_region,Asia,
TLS,TL,626,world_region,Asia,
ZAF,ZA,710,world_region,Africa,
SGS,GS,239,world_region,South America,
