country_code_alpha3,language_code,world_region,country_region_name,capital_name,remarks
BVT,eng,Africa,Bouvet Island,,
PRI,eng,North America,Puerto Rico,San Juan,
FRO,eng,Europe,Faroe Islands,Tórshavn,
FLK,eng,South America,Falkland Islands (Malvinas),Stanley,
BRA,eng,South America,Brazil,Brasília,
FRA,eng,Europe,France,Paris,
BGR,eng,Europe,Bulgaria,Sofia,
BFA,eng,Africa,Burkina Faso,Ouagadougou,
BRB,eng,North America,Barbados,Bridgetown,
HUN,eng,Europe,Hungary,Budapest,
BRN,eng,Asia,Brunei Darussalam,Bandar Seri Begawan,
BDI,eng,Africa,Burundi,Bujumbura,
HMD,eng,Oceania,Heard Island and McDonald Islands,,
VNM,eng,Asia,Viet Nam,Hanoi,
BEN,eng,Africa,Benin,Porto-Novo,
VEN,eng,South America,Venezuela (Bolivarian Republic of),Caracas,
BLR,eng,Europe,Belarus,Minsk,
BLZ,eng,North America,Belize,Belmopan,
PER,eng,South America,Peru,Lima,
GUF,eng,South America,French Guiana,Cayenne,
PYF,eng,Oceania,French Polynesia,Papeete,
ATF,eng,Africa,French Southern Territories,Port-aux-Français,
VIR,eng,North America,Virgin Islands (U.S.),Charlotte Amalie,
ASM,eng,Oceania,American Samoa,Pago Pago,
UMI,eng,Oceania,United States Minor Outlying Islands,,
MNP,eng,Oceania,Northern Mariana Islands,Saipan,
PRK,eng,Asia,"Korea, Democratic People's Republic of",Pyongyang,
BEL,eng,Europe,Belgium,Brussels,
WSM,eng,Oceania,Samoa,Apia,
STP,eng,Africa,Sao Tome and Principe,São Tomé,
ZMB,eng,Africa,Zambia,Lusaka,
SPM,eng,North America,Saint Pierre and Miquelon,Saint-Pierre,
SMR,eng,Europe,San Marino,San Marino,
SLE,eng,Africa,Sierra Leone,Freetown,
DJI,eng,Africa,Djibouti,Djibouti,
GIB,eng,Europe,Gibraltar,Gibraltar,
JAM,eng,North America,Jamaica,Kingston,
GEO,eng,Asia,Georgia,Tbilisi,
SYR,eng,Asia,Syrian Arab Republic,Damascus,
SGP,eng,Asia,Singapore,Singapore,
ZWE,eng,Africa,Zimbabwe,Harare,
CHE,eng,Europe,Switzerland,Bern,
SWE,eng,Europe,Sweden,Stockholm,
SDN,eng,Africa,Sudan,Khartoum,
SJM,eng,Europe,Svalbard and Jan Mayen,,
ESP,eng,Europe,Spain,Madrid,
SUR,eng,South America,Suriname,Paramaribo,
LKA,eng,Asia,Sri Lanka,Sri Jayawardenepura Kotte,
SVK,eng,Europe,Slovakia,Bratislava,
SVN,eng,Europe,Slovenia,Ljubljana,
SYC,eng,Africa,Seychelles,Victoria,
SEN,eng,Africa,Senegal,Dakar,
SRB,eng,Europe,Serbia,Belgrade,
KNA,eng,North America,Saint Kitts and Nevis,Basseterre,
MUS,eng,Africa,Mauritius,Port Louis,
MRT,eng,Africa,Mauritania,Nouakchott,
MOZ,eng,Africa,Mozambique,Maputo,
POL,eng,Europe,Poland,Warsaw,
BIH,eng,Europe,Bosnia and Herzegovina,Sarajevo,
BWA,eng,Africa,Botswana,Gaborone,
BOL,eng,South America,Bolivia (Plurinational State of),La Paz,
PRT,eng,Europe,Portugal,Lisbon,
HKG,eng,Asia,Hong Kong,,
HND,eng,North America,Honduras,Tegucigalpa,
MHL,eng,Oceania,Marshall Islands,Majuro,
MAC,eng,Asia,Macau,,
MDG,eng,Africa,Madagascar,Antananarivo,
MYT,eng,Africa,Mayotte,Mamoudzou,
MWI,eng,Africa,Malawi,Lilongwe,
MLI,eng,Africa,Mali,Bamako,
MLT,eng,Europe,Malta,Valletta,
MTQ,eng,North America,Martinique,,
MYS,eng,Asia,Malaysia,Kuala Lumpur,
FSM,eng,Oceania,Micronesia (Federated States of),Palikir,
SSD,eng,Africa,South Sudan,Juba,
MMR,eng,Asia,Myanmar,Naypyidaw,
MEX,eng,North America,Mexico,Mexico City,
VCT,eng,North America,Saint Vincent and the Grenadines,Kingstown,
SHN,eng,Africa,"Saint Helena, Ascension and Tristan da Cunha",Jamestown,
PAN,eng,North America,Panama,Panama City,
VUT,eng,Oceania,Vanuatu,Port Vila,
BHS,eng,North America,Bahamas,Nassau,
PNG,eng,Oceania,Papua New Guinea,Port Moresby,
BMU,eng,North America,Bermuda,Hamilton,
PLW,eng,Oceania,Palau,Ngerulmud,
PRY,eng,South America,Paraguay,Asunción,
MAR,eng,Africa,Morocco,Rabat,
MCO,eng,Europe,Monaco,Monaco,
MDV,eng,Asia,Maldives,Malé,
MDA,eng,Europe,"Moldova, Republic of",Chișinău,
MNG,eng,Asia,Mongolia,Ulaanbaatar,
LAO,eng,Asia,Lao People's Democratic Republic,Vientiane,
MNE,eng,Europe,Montenegro,Podgorica,
MSR,eng,North America,Montserrat,Little Bay,
JOR,eng,Asia,Jordan,Amman,
LVA,eng,Europe,Latvia,Riga,
LTU,eng,Europe,Lithuania,Vilnius,
LBY,eng,Africa,Libya,Tripoli,
LIE,eng,Europe,Liechtenstein,Vaduz,
LBR,eng,Africa,Liberia,Monrovia,
ROU,eng,Europe,Romania,Bucharest,
LUX,eng,Europe,Luxembourg,Luxembourg,
RWA,eng,Africa,Rwanda,Kigali,
LSO,eng,Africa,Lesotho,Maseru,
LBN,eng,Asia,Lebanon,Beirut,
REU,eng,Africa,Réunion,Saint-Denis,
RUS,eng,Europe,Russian Federation,Moscow,
WLF,eng,Oceania,Wallis and Futuna,Mata-Utu,
IOT,eng,Asia,British Indian Ocean Territory,Victoria,
VGB,eng,North America,Virgin Islands (British),Road Town,
ESH,eng,Africa,Western Sahara,Laayoune,
GNQ,eng,Africa,Equatorial Guinea,Malabo,
KOR,eng,Asia,"Korea, Republic of",Seoul,
CAF,eng,Africa,Central African Republic,Bangui,
CHN,eng,Asia,China,Beijing,
TLS,eng,Asia,Timor-Leste,Dili,
ZAF,eng,Africa,South Africa,Pretoria,
SGS,eng,South America,South Georgia and the South Sandwich Islands,King Edward Point,
GBR,jpn,ヨーロッパ,グレートブリテン及び北部アイルランド連合王国(英国),ロンドン,
GRD,jpn,北アメリカ,グレナダ,セントジョージズ,
HRV,jpn,ヨーロッパ,クロアチア共和国,ザグレブ,
CYM,jpn,北アメリカ,ケイマン諸島,ジョージタウン,
KEN,jpn,アフリカ,ケニア共和国,ナイロビ,
CIV,jpn,アフリカ,コートジボアール共和国,ヤムスクロ,
CCK,jpn,オセアニア,ココス諸島,ウェスト島,
CRI,jpn,北アメリカ,コスタリカ共和国,サン・ホセ,
COM,jpn,アフリカ,コモロ・イスラム連邦共和国,モロニ,
AFG,jpn,アジア,アフガニスタン・イスラム国,カブール,
GUY,jpn,南アメリカ,ガイアナ協同共和国,ジョージタウン,
JPN,jpn,日本,日本国,東京,
ISL,jpn,ヨーロッパ,アイスランド共和国,レイキャヴィーク,
IRL,jpn,ヨーロッパ,アイルランド,ダブリン,
AZE,jpn,アジア,アゼルバイジャン共和国,バクー,
USA,jpn,北アメリカ,アメリカ合衆国(米国),ワシントンD.C.,
ARE,jpn,アジア,アラブ首長国連邦,アブダビ,
DZA,jpn,アフリカ,アルジェリア民主人民共和国,アルジェ,
ARG,jpn,南アメリカ,アルゼンチン共和国,ブエノスアイレス,
ABW,jpn,南アメリカ,アルバ,オラニエスタッド,
ALB,jpn,ヨーロッパ,アルバニア共和国,ティラナ,
GNB,jpn,アフリカ,ギニアビサウ共和国,ビサウ,
GIN,jpn,アフリカ,ギニア共和国,コナクリ,
CYP,jpn,アジア,キプロス共和国,ニコシア,
CUB,jpn,北アメリカ,キューバ共和国,ハバナ,
GRC,jpn,ヨーロッパ,ギリシャ共和国,アテネ,
KIR,jpn,オセアニア,キリバス共和国,タラワ,
KGZ,jpn,アジア,キルギス共和国,ビシュケク,
COL,jpn,南アメリカ,コロンビア共和国,ボゴタ,
COD,jpn,アフリカ,コンゴ民主共和国,キンシャサ,
COG,jpn,アフリカ,コンゴ共和国,ブラザヴィル,
SAU,jpn,アジア,サウジアラビア王国,リヤド,
KAZ,jpn,アジア,カザフスタン共和国,ヌルスルタン,
QAT,jpn,アジア,カタール国,ドーハ,
CAN,jpn,北アメリカ,カナダ,オタワ,
GAB,jpn,アフリカ,ガボン共和国,リーブルヴィル,
CMR,jpn,アフリカ,カメルーン共和国,ヤウンデ,
GMB,jpn,アフリカ,ガンビア共和国,バンジュール,
KHM,jpn,アジア,カンボジア王国,ブノンペン,
MKD,jpn,ヨーロッパ,北マケドニア共和国,スコピエ,
KWT,jpn,アジア,クウェート国,クウェート,
ARM,jpn,アジア,アルメニア共和国,エレバン,
AIA,jpn,北アメリカ,アンギラ,バレー,
GTM,jpn,北アメリカ,グアテマラ共和国,グアテマラシティ,
GLP,jpn,北アメリカ,グアドループ島,バステール,
GUM,jpn,オセアニア,グアム,ハガニア,
COK,jpn,オセアニア,クック諸島,アバルア,
GRL,jpn,北アメリカ,グリーンランド,ヌーク,
CXR,jpn,オセアニア,クリスマス島,フライング・フィッシュ・コーブ,
