selection_item_type,selection_item_code,language_code,selection_item_name,selection_item_short_name,remarks
service_status,Suspended,jpn,停止中,停止中,
service_status,Terminated,jpn,終了,終了,
service_plan_status,Preparing,jpn,準備中,準備中,
service_plan_status,Active,jpn,稼動中,稼動中,
service_plan_status,Suspended,jpn,停止中,停止中,
service_plan_status,Terminated,jpn,終了,終了,
service_usage_status,Under DD,jpn,申込受付済（審査中）,申込受付済,
service_usage_status,DD Completed,jpn,審査完了（未ログイン）,審査完了,
service_usage_status,Active,jpn,利用中,利用中,
service_usage_status,Paused,jpn,利用停止中,利用停止中,
service_usage_status,Suspended,jpn,利用停止中（疑義あり）,利用停止中,赤字表示
service_usage_status,Closed,jpn,利用終了,利用終了,
service_usage_status,Terminated,jpn,利用終了（疑義あり）,利用終了,赤字表示
service_contract_status,Not Requested,jpn,未締結,未締結,
service_contract_status,In Progress,jpn,締結中,締結中,
service_contract_status,Completed,jpn,締結済,締結済,
payment_cycle,Monthly,jpn,1ヶ月ごと,1ヶ月ごと,
payment_cycle,Quarterly,jpn,3ヶ月ごと,3ヶ月ごと,
payment_cycle,Semi-Annually,jpn,6ヶ月ごと,6ヶ月ごと,
payment_cycle,Annually,jpn,12ヶ月ごと,12ヶ月ごと,
payment_method,Card,jpn,クレジット/デビット/プリペイドカード,カード,
payment_method,Bank Transfer,jpn,銀行振込,銀行振込,
language_code,eng,jpn,English,English,
language_code,jpn,jpn,日本語,日本語,
language_code,ind,jpn,Bahasa Indonesia,Bahasa Indonesia,
language_code,tha,jpn,ภาษาไทย,ภาษาไทย,
language_code,cmn,jpn,中文（简体）,中国語（簡体字）,
language_code,yue,jpn,中国語（繁体字）,中国語（繁体字）,
language_code,spa,jpn,Español,Español,
language_code,vie,jpn,Tiếng Việt,Tiếng Việt,
dd_entity_type,target_company,jpn,取引対象法人,取引対象法人,
dd_entity_type,related_company,jpn,関連法人,関連法人,
dd_entity_type,related_individual,jpn,関連個人,関連個人,
dd_relation_type,Ultimate Beneficial Owner,jpn,実質的支配者,実質的支配者,
dd_relation_type,Executive,jpn,役員,役員,
dd_relation_type,Shareholder,jpn,株主,株主,
dd_relation_type,Executive of Shareholder,jpn,株主の役員,株主の役員,
dd_relation_type,Indirect Shareholder,jpn,間接株主,間接株主,
dd_relation_type,Executive of Indirect Shareholder,jpn,間接株主の役員,間接株主の役員,
dd_relation_type,Investee,jpn,出資先,出資先,
dd_relation_type,Executive of Investee,jpn,出資先の役員,出資先の役員,
dd_relation_type,Indirect Investee,jpn,間接出資先,間接出資先,
dd_relation_type,Executive of Indirect Investee,jpn,間接出資先の役員,間接出資先の役員,
dd_status,Under Continuous DD,jpn,継続審査中,継続審査中,
dd_status,DD Requested,jpn,依頼済,依頼済,
dd_status,AI DD Completed,jpn,AI審査完了,AI審査完了,
dd_status,Primary DD Completed,jpn,一次審査完了,一次審査完了,
dd_status,Final DD Completed,jpn,最終審査完了,最終審査完了,
dd_status,Business Start/Continue,jpn,取引開始/継続済,取引開始/継続済,
